"name_csv"," predict_var"," drop_feature","nb_features","learning_rate1","learning_rate2"," nb_node_layer1","nb_node_layer2","batch_size"," nb_epochs "," training_size","mape_train","mape_test","time"
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,10,0.9,4.5773828367968115,4.89094649579214,142.45238830700146
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,15,0.9,3.916673104112275,4.3887487248234125,179.76920402500036
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,20,0.9,3.7624633628965,4.3794055257154545,196.08568863499931
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,25,0.9,3.20240413321965,3.879077455271845,229.65890875100013
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,30,0.9,3.1212981630494627,3.8757932743300563,194.7980942489994
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,40,0.9,3.0449113696813583,3.9034350475539332,214.9061546390003
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,50,0.9,3.0072173923254013,3.985949442438457,250.33124725400012
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.9,3.6805119295627025,7.820909113987632,337.17825399899993
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.1,16.120749826016635,18.318688701316354,221.69994802399992
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.1,11.428150324717812,15.140350938419212,299.95645186
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.1,13.847978991010915,16.734735814269616,539.0126314290001
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.2,4.634296331068744,11.206879426279794,927.7623329390003
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.2,5.047830739422984,11.756315315547196,192.983935849
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.2,4.722511531218238,11.177169883056827,258.851560434
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.5,4.240680277606716,9.580247612103172,374.9906905710001
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.5,4.471294619726098,9.188819797142692,622.1058159869999
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.5,4.191451230256454,9.243426131683847,956.6161818549999
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.8,4.1146275072318055,8.258303490669832,1522.1714238160002
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.8,3.5991378740771958,7.7462372883506445,315.24361252799997
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.8,4.026943807692631,8.312332877646321,355.934711288
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.9,3.6917260804614007,7.645574393479721,475.01872111600005
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.9,3.7107302046916337,7.765727926855502,747.7682632439999
feature_importanceRF.csv,vmlinux,True,6000,0.5,0.025,200,300,50,40,0.9,3.821716905791978,7.879288590472678,1093.6559527659997
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.1,13.46515973754551,14.185186266899109,17.922792850000008
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.1,13.810403321100319,14.22312655598645,19.899009218000003
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.1,13.609216342801632,14.184242734298614,21.44869570600001
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.2,4.4675585543331895,8.72098323378874,31.52241724299998
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.2,4.69846973406232,8.819656800640667,34.298861542
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.2,4.610786346637684,8.68688681009023,36.40318384500003
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.5,3.907199085795361,6.586479338355686,55.827680891
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.5,3.9746851198051285,6.6299172359964125,59.048608892000004
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.5,4.090837391044783,6.624631173714348,61.014266160000034
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.8,3.706853798388139,5.71482129978097,80.54132030900001
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.8,3.8552822997064693,5.70549759592699,83.76679918000002
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.8,3.932765529207561,5.784004725839781,86.02984228900004
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.9,3.755546544916964,5.690634159938149,93.30091870700005
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.9,3.9021932296994803,5.47583423230959,97.346310679
feature_importanceRF.csv,vmlinux,True,500,0.5,0.025,200,300,50,40,0.9,3.708070888467457,5.403958610866381,98.27670029899991
